Cell ID,PseudoTime,Time,Experiment
E8477_487,0.2436218109054527,487.0,8477
E9967_1947,0.9739869934967484,1947.0,9967
E7689_666,0.3331665832916458,666.0,7689
E34_1102,0.5512756378189094,1102.0,34
E2463_319,0.1595797898949474,319.0,2463
E18869_553,0.2766383191595798,553.0,18869
E4279_1867,0.933966983491746,1867.0,4279
E16659_1746,0.8734367183591796,1746.0,16659
E18363_533,0.2666333166583292,533.0,18363
E12308_1399,0.6998499249624812,1399.0,12308
E12568_1279,0.6398199099549775,1279.0,12568
E13785_1436,0.7183591795897949,1436.0,13785
E815_1207,0.6038019009504753,1207.0,815
E1797_981,0.4907453726863431,981.0,1797
E11078_624,0.3121560780390195,624.0,11078
E11151_280,0.1400700350175087,280.0,11151
E16533_1784,0.8924462231115557,1784.0,16533
E796_851,0.4257128564282141,851.0,796
E89_1845,0.9229614807403702,1845.0,89
E16213_1552,0.7763881940970485,1552.0,16213
E19622_1999,1.0,1999.0,19622
E11125_1316,0.6583291645822912,1316.0,11125
E4242_1314,0.6573286643321661,1314.0,4242
E14375_795,0.3976988494247123,795.0,14375
E18555_704,0.352176088044022,704.0,18555
E4430_1881,0.9409704852426212,1881.0,4430
E6593_118,0.0590295147573786,118.0,6593
E16917_378,0.1890945472736368,378.0,16917
E19617_1526,0.7633816908454227,1526.0,19617
E16116_1010,0.5052526263131566,1010.0,16116
E7271_1748,0.8744372186093047,1748.0,7271
E7559_1922,0.961480740370185,1922.0,7559
E3733_892,0.4462231115557779,892.0,3733
E16403_1899,0.9499749874937468,1899.0,16403
E4037_749,0.3746873436718359,749.0,4037
E19878_764,0.3821910955477738,764.0,19878
E4302_592,0.2961480740370185,592.0,4302
E18540_1444,0.7223611805902952,1444.0,18540
E7153_801,0.4007003501750875,801.0,7153
E10771_1640,0.8204102051025512,1640.0,10771
E18534_1878,0.9394697348674336,1878.0,18534
E3447_1643,0.8219109554777388,1643.0,3447
E14128_559,0.2796398199099549,559.0,14128
E6867_452,0.2261130565282641,452.0,6867
E1650_1144,0.5722861430715358,1144.0,1650
E12675_1901,0.950975487743872,1901.0,12675
E2770_775,0.3876938469234617,775.0,2770
E9466_910,0.4552276138069034,910.0,9466
E17192_1067,0.5337668834417209,1067.0,17192
E18895_637,0.3186593296648324,637.0,18895
E6172_1601,0.8009004502251126,1601.0,6172
E19999_899,0.4497248624312156,899.0,19999
E14673_849,0.424712356178089,849.0,14673
E14853_1609,0.8049024512256128,1609.0,14853
E13216_111,0.0555277638819409,111.0,13216
E15994_116,0.0580290145072536,116.0,15994
E9014_78,0.0390195097548774,78.0,9014
E10731_163,0.0815407703851926,163.0,10731
E4475_703,0.3516758379189594,703.0,4475
E1017_1055,0.5277638819409705,1055.0,1017
E13248_1578,0.7893946973486743,1578.0,13248
E5365_215,0.1075537768884442,215.0,5365
E15057_400,0.2001000500250125,400.0,15057
E19287_1042,0.5212606303151576,1042.0,19287
E2175_1682,0.8414207103551776,1682.0,2175
E14110_365,0.1825912956478239,365.0,14110
E16622_843,0.4217108554277138,843.0,16622
E11988_985,0.4927463731865933,985.0,11988
E18779_1841,0.92096048024012,1841.0,18779
E2842_1136,0.5682841420710355,1136.0,2842
E9682_1354,0.6773386693346674,1354.0,9682
E14066_847,0.423711855927964,847.0,14066
E2081_1506,0.753376688344172,1506.0,2081
E6912_582,0.2911455727863932,582.0,6912
E7855_1893,0.9469734867433716,1893.0,7855
E7700_562,0.2811405702851425,562.0,7700
E16034_1892,0.9464732366183092,1892.0,16034
E7050_2,0.001000500250125,2.0,7050
E15737_1611,0.8059029514757379,1611.0,15737
E19489_507,0.2536268134067033,507.0,19489
E15948_1465,0.7328664332166083,1465.0,15948
E11893_114,0.0570285142571285,114.0,11893
E12977_1020,0.5102551275637819,1020.0,12977
E3606_66,0.033016508254127,66.0,3606
E8496_1858,0.9294647323661832,1858.0,8496
E13534_1536,0.768384192096048,1536.0,13534
E11708_264,0.1320660330165082,264.0,11708
E3481_1868,0.9344672336168084,1868.0,3481
E8786_692,0.3461730865432716,692.0,8786
E14519_63,0.0315157578789394,63.0,14519
E9333_948,0.4742371185592796,948.0,9333
E6530_887,0.4437218609304652,887.0,6530
E16721_947,0.4737368684342171,947.0,16721
E7575_377,0.1885942971485742,377.0,7575
E15886_1703,0.8519259629814907,1703.0,15886
E5861_755,0.3776888444222111,755.0,5861
E18089_1507,0.7538769384692346,1507.0,18089
E11949_686,0.3431715857928964,686.0,11949
E749_1750,0.8754377188594297,1750.0,749
E2337_942,0.4712356178089044,942.0,2337
E12812_348,0.1740870435217608,348.0,12812
E6931_1538,0.7693846923461731,1538.0,6931
E18070_1857,0.9289644822411206,1857.0,18070
E15851_975,0.4877438719359679,975.0,15851
E12636_894,0.447223611805903,894.0,12636
E5680_994,0.497248624312156,994.0,5680
E13487_1172,0.5862931465732867,1172.0,13487
E6847_132,0.0660330165082541,132.0,6847
E19786_694,0.3471735867933967,694.0,19786
E7503_1582,0.7913956978489245,1582.0,7503
E7236_1185,0.5927963981990996,1185.0,7236
E18793_426,0.2131065532766383,426.0,18793
E16891_590,0.2951475737868934,590.0,16891
E6824_1022,0.511255627813907,1022.0,6824
E19252_585,0.2926463231615808,585.0,19252
E15039_1557,0.7788894447223612,1557.0,15039
E3511_1089,0.5447723861930965,1089.0,3511
E4143_684,0.3421710855427713,684.0,4143
E12520_1092,0.5462731365682841,1092.0,12520
E16867_567,0.2836418209104552,567.0,16867
E17350_1735,0.8679339669834918,1735.0,17350
E14446_1269,0.6348174087043522,1269.0,14446
E9759_1081,0.5407703851925963,1081.0,9759
E3063_1389,0.6948474237118559,1389.0,3063
E8808_231,0.1155577788894447,231.0,8808
E9274_1227,0.6138069034517258,1227.0,9274
E14641_1371,0.6858429214607303,1371.0,14641
E11068_944,0.4722361180590295,944.0,11068
E4219_258,0.129064532266133,258.0,4219
E901_934,0.4672336168084042,934.0,901
E448_855,0.4277138569284642,855.0,448
E18471_1019,0.5097548774387194,1019.0,18471
E7074_1809,0.904952476238119,1809.0,7074
E10939_1296,0.6483241620810405,1296.0,10939
E1351_1880,0.9404702351175588,1880.0,1351
E8383_1484,0.7423711855927964,1484.0,8383
E6079_266,0.1330665332666333,266.0,6079
E8998_1715,0.8579289644822411,1715.0,8998
E2093_1804,0.9024512256128064,1804.0,2093
E3371_1423,0.711855927963982,1423.0,3371
E5323_328,0.1640820410205102,328.0,5323
E13175_1966,0.9834917458729364,1966.0,13175
E15939_1824,0.912456228114057,1824.0,15939
E11850_1820,0.9104552276138068,1820.0,11850
E9218_1271,0.6358179089544772,1271.0,9218
E13632_1713,0.8569284642321161,1713.0,13632
E12642_1117,0.5587793896948474,1117.0,12642
E6898_438,0.2191095547773887,438.0,6898
E14522_398,0.1990995497748874,398.0,14522
E5436_1481,0.7408704352176088,1481.0,5436
E6393_1752,0.8764382191095548,1752.0,6393
E1801_153,0.0765382691345672,153.0,1801
E7296_1517,0.7588794397198599,1517.0,7296
E18990_1914,0.9574787393696848,1914.0,18990
E14184_202,0.1010505252626313,202.0,14184
E16842_1233,0.616808404202101,1233.0,16842
E3107_59,0.0295147573786893,59.0,3107
E9354_1155,0.5777888944472236,1155.0,9354
E17432_129,0.0645322661330665,129.0,17432
E5452_79,0.0395197598799399,79.0,5452
E11602_153,0.0765382691345672,153.0,11602
E8166_548,0.2741370685342671,548.0,8166
E17116_1229,0.6148074037018509,1229.0,17116
E17907_933,0.4667333666833416,933.0,17907
E7771_282,0.1410705352676338,282.0,7771
E16621_506,0.2531265632816408,506.0,16621
E10760_217,0.1085542771385692,217.0,10760
E15964_1447,0.7238619309654828,1447.0,15964
E399_1130,0.5652826413206603,1130.0,399
E12072_1748,0.8744372186093047,1748.0,12072
E6001_501,0.2506253126563281,501.0,6001
E9749_1795,0.8979489744872436,1795.0,9749
E13894_1062,0.5312656328164082,1062.0,13894
E13254_1908,0.9544772386193096,1908.0,13254
E12057_195,0.0975487743871936,195.0,12057
E11763_290,0.145072536268134,290.0,11763
E4992_1462,0.7313656828414207,1462.0,4992
E3400_1377,0.6888444222111055,1377.0,3400
E4691_920,0.4602301150575287,920.0,4691
E6900_1632,0.8164082041020511,1632.0,6900
E17010_410,0.2051025512756378,410.0,17010
E9212_1835,0.9179589794897448,1835.0,9212
E2958_1604,0.8024012006003002,1604.0,2958
E3969_1895,0.9479739869934968,1895.0,3969
E15119_1002,0.5012506253126563,1002.0,15119
E12248_1036,0.5182591295647824,1036.0,12248
E14082_201,0.1005502751375687,201.0,14082
E18035_307,0.1535767883941971,307.0,18035
E11507_1292,0.6463231615807904,1292.0,11507
E13342_377,0.1885942971485742,377.0,13342
E6457_1925,0.9629814907453726,1925.0,6457
E15271_1505,0.7528764382191095,1505.0,15271
E16435_279,0.1395697848924462,279.0,16435
E18852_1024,0.512256128064032,1024.0,18852
E4384_1744,0.8724362181090545,1744.0,4384
E12780_312,0.1560780390195097,312.0,12780
E7960_479,0.2396198099049524,479.0,7960
E14783_1979,0.9899949974987494,1979.0,14783
E17126_502,0.2511255627813907,502.0,17126
E10430_1938,0.9694847423711856,1938.0,10430
E18489_1779,0.8899449724862432,1779.0,18489
E9472_735,0.3676838419209605,735.0,9472
E19159_16,0.0080040020010005,16.0,19159
E3753_534,0.2671335667833917,534.0,3753
E2910_1302,0.6513256628314157,1302.0,2910
E7874_1909,0.9549774887443722,1909.0,7874
E4173_996,0.4982491245622811,996.0,4173
E9538_1665,0.8329164582291145,1665.0,9538
E13818_1189,0.5947973986993497,1189.0,13818
E3918_417,0.2086043021510755,417.0,3918
E15570_1877,0.9389694847423712,1877.0,15570
E215_444,0.2221110555277639,444.0,215
E17380_663,0.3316658329164582,663.0,17380
E10432_1148,0.5742871435717859,1148.0,10432
E10118_1809,0.904952476238119,1809.0,10118
E3678_1061,0.5307653826913457,1061.0,3678
E15155_1401,0.7008504252126063,1401.0,15155
E10773_1894,0.9474737368684342,1894.0,10773
E10938_936,0.4682341170585292,936.0,10938
E1924_174,0.0870435217608804,174.0,1924
E12759_1532,0.7663831915957979,1532.0,12759
E4775_286,0.1430715357678839,286.0,4775
E14090_1716,0.8584292146073037,1716.0,14090
E14737_136,0.0680340170085042,136.0,14737
E18803_761,0.3806903451725863,761.0,18803
E14909_1799,0.8999499749874937,1799.0,14909
E9312_170,0.0850425212606303,170.0,9312
E18449_1409,0.7048524262131065,1409.0,18449
E1768_282,0.1410705352676338,282.0,1768
E1284_1154,0.5772886443221611,1154.0,1284
E16822_943,0.471735867933967,943.0,16822
E3016_1958,0.9794897448724362,1958.0,3016
E11633_993,0.4967483741870935,993.0,11633
E8510_154,0.0770385192596298,154.0,8510
E7342_484,0.2421210605302651,484.0,7342
E8231_442,0.2211105552776388,442.0,8231
E7756_1742,0.8714357178589295,1742.0,7756
E5881_697,0.3486743371685843,697.0,5881
E5194_631,0.3156578289144572,631.0,5194
E4478_428,0.2141070535267633,428.0,4478
E6577_98,0.049024512256128,98.0,6577
E8583_928,0.464232116058029,928.0,8583
E3270_1108,0.5542771385692846,1108.0,3270
E18394_1297,0.6488244122061031,1297.0,18394
E9626_1548,0.7743871935967984,1548.0,9626
E16371_1111,0.5557778889444722,1111.0,16371
E17947_273,0.136568284142071,273.0,17947
E10624_770,0.385192596298149,770.0,10624
E3709_267,0.1335667833916958,267.0,3709
E684_88,0.0440220110055027,88.0,684
E13308_1097,0.5487743871935968,1097.0,13308
E5951_344,0.1720860430215107,344.0,5951
E8001_274,0.1370685342671335,274.0,8001
E12574_760,0.3801900950475237,760.0,12574
E4121_1856,0.928464232116058,1856.0,4121
E11041_1994,0.9974987493746872,1994.0,11041
E9546_1499,0.7498749374687343,1499.0,9546
E4805_707,0.3536768384192096,707.0,4805
E19031_1256,0.6283141570785392,1256.0,19031
E12665_1565,0.7828914457228614,1565.0,12665
E17001_326,0.1630815407703852,326.0,17001
E4388_1659,0.8299149574787393,1659.0,4388
E7562_634,0.3171585792896448,634.0,7562
E10216_1193,0.5967983991995998,1193.0,10216
E17885_208,0.1040520260130065,208.0,17885
E3930_1931,0.9659829914957478,1931.0,3930
E11950_1810,0.9054527263631816,1810.0,11950
E14655_987,0.4937468734367183,987.0,14655
E4229_982,0.4912456228114057,982.0,4229
E3806_740,0.3701850925462731,740.0,3806
E5221_919,0.4597298649324662,919.0,5221
E7421_404,0.2021010505252626,404.0,7421
E17348_1430,0.7153576788394197,1430.0,17348
E9216_966,0.4832416208104052,966.0,9216
E9571_1654,0.8274137068534267,1654.0,9571
E15511_1074,0.5372686343171585,1074.0,15511
E6436_475,0.2376188094047023,475.0,6436
E17319_1838,0.9194597298649324,1838.0,17319
E11335_891,0.4457228614307154,891.0,11335
E988_1635,0.8179089544772387,1635.0,988
E3267_312,0.1560780390195097,312.0,3267
E19818_71,0.0355177588794397,71.0,19818
E3340_1371,0.6858429214607303,1371.0,3340
E7012_832,0.416208104052026,832.0,7012
E8996_1587,0.7938969484742371,1587.0,8996
E9687_1690,0.8454227113556778,1690.0,9687
E12096_243,0.121560780390195,243.0,12096
E5097_1429,0.7148574287143572,1429.0,5097
E11480_508,0.2541270635317659,508.0,11480
E16060_1141,0.5707853926963482,1141.0,16060
E4814_45,0.0225112556278139,45.0,4814
E16347_1599,0.7998999499749875,1599.0,16347
E3993_1132,0.5662831415707854,1132.0,3993
E658_1125,0.5627813906953477,1125.0,658
E13404_207,0.1035517758879439,207.0,13404
E5587_1241,0.6208104052026013,1241.0,5587
E14996_981,0.4907453726863431,981.0,14996
E9103_1554,0.7773886943471736,1554.0,9103
E15940_271,0.135567783891946,271.0,15940
E10636_1426,0.7133566783391696,1426.0,10636
E7027_831,0.4157078539269634,831.0,7027
E19775_788,0.3941970985492746,788.0,19775
E17022_236,0.1180590295147573,236.0,17022
E3657_882,0.4412206103051526,882.0,3657
E4649_603,0.3016508254127064,603.0,4649
E13181_1942,0.9714857428714356,1942.0,13181
E15821_746,0.3731865932966483,746.0,15821
E1377_1581,0.7908954477238619,1581.0,1377
E9925_362,0.1810905452726363,362.0,9925
E7798_1080,0.5402701350675337,1080.0,7798
E15494_1642,0.8214107053526764,1642.0,15494
E434_137,0.0685342671335667,137.0,434
E5464_1615,0.807903951975988,1615.0,5464
E5132_219,0.1095547773886943,219.0,5132
E982_983,0.4917458729364682,983.0,982
E12138_1475,0.7378689344672336,1475.0,12138
E14238_1668,0.8344172086043021,1668.0,14238
E2246_1215,0.6078039019509754,1215.0,2246
E12034_538,0.2691345672836418,538.0,12034
E147_660,0.3301650825412706,660.0,147
E1913_1487,0.743871935967984,1487.0,1913
E7146_1594,0.7973986993496749,1594.0,7146
E15373_587,0.2936468234117058,587.0,15373
E6917_56,0.0280140070035017,56.0,6917
E12654_125,0.0625312656328164,125.0,12654
E11565_879,0.439719859929965,879.0,11565
E17722_254,0.1270635317658829,254.0,17722
E6478_1874,0.9374687343671836,1874.0,6478
E5208_1847,0.9239619809904952,1847.0,5208
E11056_189,0.0945472736368184,189.0,11056
E11403_1845,0.9229614807403702,1845.0,11403
E13093_1150,0.575287643821911,1150.0,13093
E4357_1916,0.95847923961981,1916.0,4357
E472_1530,0.7653826913456728,1530.0,472
E8542_476,0.2381190595297649,476.0,8542
E14001_1953,0.9769884942471236,1953.0,14001
E12886_1629,0.8149074537268635,1629.0,12886
E9189_1990,0.9954977488744372,1990.0,9189
E8530_1822,0.911455727863932,1822.0,8530
E2577_1054,0.527263631815908,1054.0,2577
E1686_1305,0.6528264132066033,1305.0,1686
E904_459,0.2296148074037018,459.0,904
E5980_1783,0.8919459729864933,1783.0,5980
E3711_597,0.2986493246623312,597.0,3711
E12629_463,0.2316158079039519,463.0,12629
E19976_376,0.1880940470235117,376.0,19976
E17705_1298,0.6493246623311656,1298.0,17705
