Cell ID,PseudoTime,Time,Experiment
E19572_1596,0.7983991995997999,1596.0,19572
E19003_223,0.1115557778889444,223.0,19003
E9953_1735,0.8679339669834918,1735.0,9953
E9391_998,0.4992496248124062,998.0,9391
E2361_1118,0.5592796398199099,1118.0,2361
E60_1981,0.9909954977488744,1981.0,60
E1510_1307,0.6538269134567284,1307.0,1510
E10860_971,0.4857428714357178,971.0,10860
E1388_1464,0.7323661830915458,1464.0,1388
E873_1071,0.535767883941971,1071.0,873
E10123_738,0.3691845922961481,738.0,10123
E19876_1314,0.6573286643321661,1314.0,19876
E8220_1710,0.8554277138569285,1710.0,8220
E14914_1324,0.6623311655827914,1324.0,14914
E15184_767,0.3836918459229614,767.0,15184
E4614_1544,0.7723861930965483,1544.0,4614
E10772_702,0.3511755877938969,702.0,10772
E3165_610,0.3051525762881441,610.0,3165
E10305_880,0.4402201100550275,880.0,10305
E15599_1268,0.6343171585792896,1268.0,15599
E18263_999,0.4997498749374687,999.0,18263
E5752_249,0.1245622811405702,249.0,5752
E2562_1976,0.9884942471235618,1976.0,2562
E16856_792,0.3961980990495247,792.0,16856
E4964_1522,0.7613806903451726,1522.0,4964
E15707_1364,0.6823411705852926,1364.0,15707
E15354_1951,0.9759879939969984,1951.0,15354
E7508_521,0.2606303151575788,521.0,7508
E10110_565,0.2826413206603301,565.0,10110
E1013_771,0.3856928464232116,771.0,1013
E4144_513,0.2566283141570785,513.0,4144
E8990_160,0.080040020010005,160.0,8990
E9498_505,0.2526263131565783,505.0,9498
E14269_263,0.1315657828914457,263.0,14269
E17828_235,0.1175587793896948,235.0,17828
E7068_1196,0.5982991495747874,1196.0,7068
E11169_146,0.0730365182591295,146.0,11169
E8178_200,0.1000500250125062,200.0,8178
E9883_582,0.2911455727863932,582.0,9883
E19061_1267,0.6338169084542271,1267.0,19061
E12579_1774,0.8874437218609305,1774.0,12579
E13114_1343,0.6718359179589795,1343.0,13114
E12320_669,0.3346673336668334,669.0,12320
E11789_445,0.2226113056528264,445.0,11789
E12911_1131,0.5657828914457229,1131.0,12911
E18516_596,0.2981490745372686,596.0,18516
E19624_55,0.0275137568784392,55.0,19624
E5518_246,0.1230615307653826,246.0,5518
E19864_321,0.1605802901450725,321.0,19864
