Cell ID,PseudoTime,Time,Experiment
E3010_1413,0.7068534267133567,1413.0,3010
E3427_764,0.3821910955477738,764.0,3427
E3748_247,0.1235617808904452,247.0,3748
E18459_582,0.2911455727863932,582.0,18459
E8047_989,0.4947473736868434,989.0,8047
E12481_886,0.4432216108054027,886.0,12481
E12405_260,0.1300650325162581,260.0,12405
E895_16,0.0080040020010005,16.0,895
E4024_940,0.4702351175587794,940.0,4024
E605_1164,0.5822911455727864,1164.0,605
E1282_834,0.417208604302151,834.0,1282
E9786_399,0.1995997998999499,399.0,9786
E17797_1107,0.5537768884442221,1107.0,17797
E3652_962,0.4812406203101551,962.0,3652
E13314_950,0.4752376188094047,950.0,13314
E7620_1179,0.5897948974487244,1179.0,7620
E10137_759,0.3796898449224612,759.0,10137
E7224_232,0.1160580290145072,232.0,7224
E92_633,0.3166583291645823,633.0,92
E2454_432,0.2161080540270135,432.0,2454
E17818_1582,0.7913956978489245,1582.0,17818
E3527_95,0.0475237618809404,95.0,3527
E14858_1977,0.9889944972486244,1977.0,14858
E12986_1344,0.6723361680840421,1344.0,12986
E2403_802,0.4012006003001501,802.0,2403
E6334_1589,0.7948974487243622,1589.0,6334
E463_1396,0.6983491745872936,1396.0,463
E17489_130,0.065032516258129,130.0,17489
E6762_1383,0.6918459229614807,1383.0,6762
E15200_1287,0.6438219109554777,1287.0,15200
E18923_1741,0.870935467733867,1741.0,18923
E6051_170,0.0850425212606303,170.0,6051
E17131_1478,0.7393696848424212,1478.0,17131
E1179_1783,0.8919459729864933,1783.0,1179
E7301_1006,0.5032516258129065,1006.0,7301
E19443_676,0.3381690845422711,676.0,19443
E5891_766,0.3831915957978989,766.0,5891
E6643_830,0.4152076038019009,830.0,6643
E18087_525,0.2626313156578289,525.0,18087
E17844_301,0.1505752876438219,301.0,17844
E12588_144,0.0720360180090045,144.0,12588
E5742_173,0.0865432716358179,173.0,5742
E10655_1885,0.9429714857428716,1885.0,10655
E17293_206,0.1030515257628814,206.0,17293
E2595_1759,0.8799399699849925,1759.0,2595
E16608_1869,0.9349674837418708,1869.0,16608
E13751_1848,0.9244622311155578,1848.0,13751
E15179_686,0.3431715857928964,686.0,15179
E6009_1903,0.951975987993997,1903.0,6009
E8536_1463,0.7318659329664833,1463.0,8536
E8183_1949,0.9749874937468734,1949.0,8183
E10192_1421,0.7108554277138569,1421.0,10192
E9313_286,0.1430715357678839,286.0,9313
E9907_1415,0.7078539269634817,1415.0,9907
E11503_1859,0.9299649824912456,1859.0,11503
E7768_929,0.4647323661830915,929.0,7768
E10697_1187,0.5937968984492246,1187.0,10697
E8201_703,0.3516758379189594,703.0,8201
E17853_13,0.0065032516258129,13.0,17853
E14711_97,0.0485242621310655,97.0,14711
E2178_923,0.4617308654327163,923.0,2178
E14305_1980,0.990495247623812,1980.0,14305
E12270_1740,0.8704352176088044,1740.0,12270
E14475_99,0.0495247623811905,99.0,14475
E15193_1777,0.888944472236118,1777.0,15193
E9123_181,0.0905452726363181,181.0,9123
E2501_610,0.3051525762881441,610.0,2501
E1312_1974,0.9874937468734368,1974.0,1312
E12470_928,0.464232116058029,928.0,12470
E14308_726,0.3631815907953977,726.0,14308
E8779_740,0.3701850925462731,740.0,8779
E15318_200,0.1000500250125062,200.0,15318
E10396_541,0.2706353176588294,541.0,10396
E246_1450,0.7253626813406704,1450.0,246
E5564_322,0.161080540270135,322.0,5564
E1177_193,0.0965482741370685,193.0,1177
E8425_1573,0.7868934467233617,1573.0,8425
E9888_1816,0.9084542271135568,1816.0,9888
E12059_1801,0.9009504752376188,1801.0,12059
E9205_227,0.1135567783891946,227.0,9205
E7338_1989,0.9949974987493748,1989.0,7338
E19749_1644,0.8224112056028015,1644.0,19749
E16840_1302,0.6513256628314157,1302.0,16840
E14805_475,0.2376188094047023,475.0,14805
E12915_1300,0.6503251625812907,1300.0,12915
E19777_1901,0.950975487743872,1901.0,19777
E19284_1146,0.5732866433216608,1146.0,19284
E13162_1406,0.7033516758379189,1406.0,13162
E1923_932,0.4662331165582791,932.0,1923
E19452_1738,0.8694347173586794,1738.0,19452
E19227_1848,0.9244622311155578,1848.0,19227
E11827_84,0.0420210105052526,84.0,11827
E7444_72,0.0360180090045022,72.0,7444
E18598_878,0.4392196098049024,878.0,18598
E17205_499,0.2496248124062031,499.0,17205
E683_661,0.3306653326663332,661.0,683
E7567_1753,0.8769384692346173,1753.0,7567
E2627_6,0.0030015007503751,6.0,2627
E13391_22,0.0110055027513756,22.0,13391
E15198_1257,0.6288144072036018,1257.0,15198
E7390_821,0.4107053526763382,821.0,7390
E5856_866,0.4332166083041521,866.0,5856
E17680_372,0.1860930465232616,372.0,17680
E1668_635,0.3176588294147073,635.0,1668
E16544_1693,0.8469234617308654,1693.0,16544
E1011_1757,0.8789394697348675,1757.0,1011
E7093_297,0.1485742871435718,297.0,7093
E12384_1678,0.8394197098549274,1678.0,12384
E19964_653,0.3266633316658329,653.0,19964
E3305_1999,1.0,1999.0,3305
E6032_431,0.2156078039019509,431.0,6032
E17764_1451,0.7258629314657329,1451.0,17764
E9620_1266,0.6333166583291646,1266.0,9620
E12798_164,0.0820410205102551,164.0,12798
E12941_1659,0.8299149574787393,1659.0,12941
E16883_460,0.2301150575287643,460.0,16883
E10674_30,0.0150075037518759,30.0,10674
E14633_424,0.2121060530265132,424.0,14633
E13254_804,0.4022011005502751,804.0,13254
E12663_1151,0.5757878939469735,1151.0,12663
E17121_1743,0.871935967983992,1743.0,17121
E6740_873,0.4367183591795898,873.0,6740
E4076_640,0.32016008004002,640.0,4076
E16198_879,0.439719859929965,879.0,16198
E11238_1483,0.7418709354677339,1483.0,11238
E6861_1575,0.7878939469734867,1575.0,6861
E5071_1446,0.7233616808404202,1446.0,5071
E19773_812,0.4062031015507754,812.0,19773
E19497_157,0.0785392696348174,157.0,19497
E10468_432,0.2161080540270135,432.0,10468
E2144_980,0.4902451225612806,980.0,2144
E868_1729,0.8649324662331166,1729.0,868
E943_1547,0.7738869434717359,1547.0,943
E18919_904,0.4522261130565282,904.0,18919
E15630_316,0.1580790395197598,316.0,15630
E8811_902,0.4512256128064032,902.0,8811
E11165_1706,0.8534267133566783,1706.0,11165
E1611_836,0.4182091045522761,836.0,1611
